truck_number,cargo_hold_capacity,total_distance_traveled
5661,82,1691
1115,67,2239
3024,116,3047
5071,58,2996
5167,170,1108
9986,99,4197
8067,53,4733
6589,113,2628
6788,168,1597
7594,177,2687
9261,112,3206
2682,142,2372
9301,105,2913
8593,157,4341
7679,107,3971
2199,93,2609
7916,76,4332
2883,156,3630
8134,186,2830
2352,161,3795
1157,79,3710
9560,136,4959
3869,189,2377
9205,149,4012
4260,181,2131
9150,81,3910
6500,93,2777
8513,127,4506
4715,145,3827
4553,168,2549
9643,186,2117
5340,100,3291
7899,92,4312
1858,133,2376
8288,130,4793
4425,124,4777
4958,170,2194
4695,97,1557
8253,195,2792
9260,133,3638
4152,194,4235
6116,164,2978
3114,154,1047
7374,158,4513
8923,127,1118
2550,81,4414
3690,165,1538
3202,122,2547
7743,83,4127
5788,113,4125
3062,199,3359
4708,78,3223
3369,112,2846
1573,191,1664
3419,187,3397
9304,194,3881
6531,190,1842
3868,66,4301
4392,100,1203
4555,124,2250
3391,63,1723
6708,121,4225
7364,76,4328
3547,76,1869
1760,57,4749
7062,199,2450
4677,152,4140
3720,131,4296
8695,136,2232
4396,150,3874
3073,94,2575
2620,188,3349
5285,144,4377
3343,143,3457
6080,186,4163
7142,150,4781
3164,53,2214
4032,54,1031
1903,84,3792
8635,61,4831
4790,63,1902
8633,70,3316
7358,141,4978
3952,84,2619
8844,154,1022
6844,184,2814
3990,196,2311
9965,152,1302
1724,122,1092
8472,85,1885
6211,63,2561
5289,188,2093
7783,97,1714
1346,176,2718
4170,152,1847
4924,191,1538
4164,134,2139
2320,145,3515
7903,121,1607
8705,141,1778
9203,94,2014
1709,68,4936
8674,174,3804
7846,109,1916
1369,119,3192
9709,103,1958
1283,137,4716
2218,106,4337
2128,153,4799
2946,138,4633
7438,185,4263
3344,91,1638
4002,52,2587
6172,168,4073
1722,125,1883
5112,173,1764
7613,181,4650
7644,184,3770
8638,119,1614
4136,77,4041
1815,200,2148
6597,79,1616
3829,103,4938
9953,99,2995
1211,183,2445
2111,141,4672
5435,135,2991
2127,61,5000
3703,196,2592
1789,194,4531
1314,64,3667
9330,50,1777
6890,160,1068
6543,171,4945
7120,152,4393
3659,132,1256
4171,182,4205
4976,123,2698
4489,193,1733
1200,141,1756
3072,95,1181
7979,196,3324
1044,106,4707
4429,177,3967
5912,163,3337
6037,129,2748
2638,138,2182
4822,148,2159
7147,127,3006
8412,75,3931
8960,191,3666
8346,125,3212
3147,118,2076
5018,148,1346
7335,158,2010
6151,106,4505
2153,129,4213
8382,122,2710
8016,95,3600
8277,111,4368
7236,118,4848
8561,111,3675
